id,publicar,nome,sigla,tipo_unidade,instituicao,sigla_instituicao,natureza_instituicao,unidade_vinculacao,area_principal,areas_secundarias,responsavel_nome,responsavel_cargo,email_contato,telefone_contato,url,endereco,cidade,uf,latitude,longitude,precisao_geo,relevancia,grau_verificacao,data_verificacao
ufabc-divulgacao-cientifica-da-ufabc,sim,Divulgação Científica da UFABC,,coordenadoria,Universidade Federal do ABC,UFABC,universidade federal,Superintendência de Comunicação (Sucom),divulgacao_cientifica,,,,,,https://www.ufabc.edu.br/divulgacao-cientifica,"Avenida dos Estados, 5001, Bangú, Santo André - SP, CEP 09210-580",Santo André,SP,-23.6396,-46.5266,campus,"Estrutura institucional de divulgação científica que produz conteúdo jornalístico e podcasts sobre pesquisa própria, incluindo resumos de pesquisa de pós-graduação. Integra a plataforma interinstitucional Federais SP.",parcial,2026-09-17
usp-cdcc,sim,Centro de Divulgação Científica e Cultural,CDCC,centro,Universidade de São Paulo,USP,universidade estadual,"Campus USP de São Carlos, Grupo Coordenador de Cultura e Extensão Universitária",divulgacao_cientifica,,Fernando Fernandes Paiva,Diretor,cdcc@cdcc.usp.br,(16) 3373-9772,https://cdcc.usp.br/,"Rua Nove de Julho, 1227, Centro, São Carlos - SP, CEP 13560-042",São Carlos,SP,-22.0154,-47.8903,endereco,"Criado em 1980, promove o acesso da comunidade aos resultados da produção científica e cultural da USP.",verificado,2026-09-17
usp-estacao-ciencia,sim,Estação Ciência,,centro,Universidade de São Paulo,USP,universidade estadual,Pró-Reitoria de Cultura e Extensão Universitária (PRCEU),divulgacao_cientifica,,Eduardo Colli,Diretor,estacao.ciencia@usp.br,(11) 3871-6752,https://www.fea.usp.br/cultura-e-extensao/programas-e-projetos-usp/estacao-ciencia,"Rua Guaicurus, 1394, Lapa, São Paulo - SP, CEP 05033-002",São Paulo,SP,-23.56522,-46.71258,campus,"Órgão de divulgação científica da USP formalmente existente, em reformulação de projeto acadêmico. Interesse baixo no curto prazo por estar sem espaço físico e sem visitação.",parcial,2026-09-17
usp-iea-usp,sim,Instituto de Estudos Avançados da Universidade de São Paulo,IEA-USP,instituto,Universidade de São Paulo,USP,universidade estadual,Reitoria da USP,divulgacao_cientifica,politicas_publicas,Roseli de Deus Lopes,Diretora (19/4/2024 a 18/4/2028),iea@usp.br,(11) 3091-3922,https://www.iea.usp.br/,"Rua Praça do Relógio, 109, térreo, Cidade Universitária, São Paulo - SP, CEP 05508-050",São Paulo,SP,-23.5595,-46.7313,endereco,Instituto de estudos avançados com produção de análises interdisciplinares e programação pública permanente.,verificado,2026-09-17
usp-njr,sim,Núcleo José Reis de Divulgação Científica,NJR,núcleo,Universidade de São Paulo,USP,universidade estadual,Escola de Comunicações e Artes (ECA),divulgacao_cientifica,,,,,,https://www.eca.usp.br/pesquisa/nucleos-de-pesquisa,"Av. Prof. Lúcio Martins Rodrigues, 443, Cidade Universitária, São Paulo - SP, CEP 05508-020",São Paulo,SP,-23.56522,-46.71258,campus,"Núcleo histórico de referência em divulgação científica no Brasil, criado em 1992, que sediou cátedra UNESCO de comunicação científica. Situação atual de funcionamento não confirmada.",parcial,2026-09-17
usp-parque-cientec,sim,Parque de Ciência e Tecnologia da Universidade de São Paulo,Parque CienTec,centro,Universidade de São Paulo,USP,universidade estadual,Pró-Reitoria de Cultura e Extensão Universitária (PRCEU),divulgacao_cientifica,,Roberto D. D. Costa,Diretor,parquecientec@usp.br,(11) 2648-4311,https://www.parquecientec.usp.br/,"Avenida Miguel Estefno, 4200, Água Funda, São Paulo - SP",São Paulo,SP,-23.6489,-46.6222,endereco,"Museu de ciências da maior universidade pública do país, com programas de alfabetização científica e atendimento a escolas. Recebeu parte do acervo da Estação Ciência.",verificado,2026-09-17
uel-mctl,sim,Museu de Ciência e Tecnologia de Londrina,MCTL,museu,Universidade Estadual de Londrina,UEL,universidade estadual,Universidade Estadual de Londrina,divulgacao_cientifica,,Sérgio Mello de Arruda,Coordenador,,(43) 3371-4805,https://sites.uel.br/mct/,"Av. Vinicius de Moraes, 627-935, Columbia, Londrina - PR, CEP 86044-766",Londrina,PR,-23.32,-51.2,cidade,"Museu universitário que reúne centro de ciências, observatório e planetário em uma só estrutura, com atendimento agendado a escolas da região.",parcial,2026-09-17
uem-mudi,sim,Museu Dinâmico Interdisciplinar,MUDI,museu,Universidade Estadual de Maringá,UEM,universidade estadual,Universidade Estadual de Maringá,divulgacao_cientifica,,Ana Paula Vidotti,Diretora,sec-mudi@uem.br,(44) 3011-4930,https://mudi.uem.br/,"Avenida Colombo, 5790, Bloco O-33, Jardim Universitário, Maringá - PR, CEP 87020-900",Maringá,PR,-23.405,-51.94,campus,"Iniciado em 1985 como projeto de extensão do Centro Interdisciplinar de Ciências, adotou a denominação atual em 2005.",parcial,2026-09-17
ufpr-ciencia-ufpr,sim,Ciência UFPR,,coordenadoria,Universidade Federal do Paraná,UFPR,universidade federal,"Superintendência de Comunicação (Sucom), Assessoria de Comunicação e Jornalismo",divulgacao_cientifica,,,,,(41) 3360-5158,https://ciencia.ufpr.br/portal/,"Rua Dr. Faivre, 405, Edifício Dom Pedro II, Centro, Curitiba - PR, CEP 80060-140",Curitiba,PR,-25.4284,-49.265,endereco,"Publicação institucional de divulgação científica com ISSN próprio, dedicada ao conhecimento produzido na universidade.",parcial,2026-09-17
ufpr-mcn-ufpr,sim,Museu de Ciências Naturais da UFPR,MCN-UFPR,museu,Universidade Federal do Paraná,UFPR,universidade federal,Setor de Ciências Biológicas,divulgacao_cientifica,,,,biomuseu@ufpr.br,(41) 3361-1645,https://mcn.ufpr.br/,"Av. Coronel Francisco Heráclito dos Santos, 100, Centro Politécnico, Jardim das Américas, Curitiba - PR, CEP 81531-980",Curitiba,PR,-25.45,-49.232,campus,Museu universitário de referência regional com programa de extensão voltado a escolas e articulação em rede estadual de divulgação científica (NAPI Paraná Faz Ciência).,parcial,2026-09-17
pucrs-mct-pucrs,sim,Museu de Ciências e Tecnologia da PUCRS,MCT-PUCRS,museu,Pontifícia Universidade Católica do Rio Grande do Sul,PUCRS,universidade privada,Pontifícia Universidade Católica do Rio Grande do Sul,divulgacao_cientifica,,Carlos Alberto Santos de Lucena,Diretor,,(51) 3320-3521,https://www.pucrs.br/mct/,"Avenida Ipiranga, 6681, Partenon, Prédio 40, Porto Alegre - RS, CEP 90619-900",Porto Alegre,RS,-30.059,-51.174,endereco,"Referência nacional inequívoca em museus de ciência universitários, com acervos de pesquisa e grande volume de visitação escolar. Incluído como exceção privada prevista na frente de trabalho.",parcial,2026-09-17
ufsm-planetario-ufsm,sim,Planetário da Universidade Federal de Santa Maria,Planetário UFSM,observatório,Universidade Federal de Santa Maria,UFSM,universidade federal,"Órgão suplementar da UFSM, Divisão de Museus da Pró-Reitoria de Extensão",divulgacao_cientifica,,Jaqueline do Carmo Trentim Machado,Diretora,planetario@ufsm.br,(55) 3220-8226,https://www.ufsm.br/orgaos-suplementares/planetario,"Praça Santos Dumont, Prédio 45, Cidade Universitária, Camobi, Santa Maria - RS, CEP 97105-900",Santa Maria,RS,-29.715,-53.716,campus,"Planetário universitário histórico, o primeiro do Rio Grande do Sul, com programação regular gratuita de divulgação científica e observações públicas do céu.",verificado,2026-09-17
ufrgs-museu-da-ufrgs,sim,Museu da Universidade Federal do Rio Grande do Sul,Museu da UFRGS,museu,Universidade Federal do Rio Grande do Sul,UFRGS,universidade federal,Universidade Federal do Rio Grande do Sul,divulgacao_cientifica,,,,,,https://www.ufrgs.br/museu/,"Av. Paulo Gama, 110, Farroupilha, Porto Alegre - RS",Porto Alegre,RS,-30.033,-51.219,campus,"Museu universitário interdisciplinar que coordena a Rede de Museus e Acervos da UFRGS e trata a ciência como ação educativa, com atendimento a grupos escolares e de pós-graduação.",parcial,2026-09-17
ufrgs-planetario-ufrgs,sim,Planetário Professor José Baptista Pereira,Planetário UFRGS,observatório,Universidade Federal do Rio Grande do Sul,UFRGS,universidade federal,Universidade Federal do Rio Grande do Sul,divulgacao_cientifica,,,,planetario@ufrgs.br,(51) 3308-5384,https://www.ufrgs.br/planetario/,"Avenida Ipiranga, 2000, Santana, Porto Alegre - RS",Porto Alegre,RS,-30.04,-51.218,endereco,"Um dos primeiros planetários fixos do país, com projeto estruturado de divulgação científica e atendimento a estudantes de todos os níveis de ensino.",parcial,2026-09-17
ufsc-nadc,sim,Núcleo de Apoio à Divulgação Científica,NADC,núcleo,Universidade Federal de Santa Catarina,UFSC,universidade federal,Pró-Reitoria de Pesquisa e Inovação (Propesq) e Secretaria de Comunicação (Secom),divulgacao_cientifica,,,,nadc@contato.ufsc.br,,https://ciencia.ufsc.br/nucleo-de-apoio-a-divulgacao-cientifica/,"Campus Universitário Reitor João David Ferreira Lima, Trindade, Florianópolis - SC, CEP 88040-900",Florianópolis,SC,-27.6,-48.52,campus,"Núcleo institucional que traduz pesquisa da universidade em linguagem acessível e atua contra a desinformação, em articulação entre pró-reitoria de pesquisa e comunicação.",parcial,2026-09-17
ufsc-planetario-da-ufsc,sim,Planetário da UFSC,,observatório,Universidade Federal de Santa Catarina,UFSC,universidade federal,Centro de Filosofia e Ciências Humanas (CFH),divulgacao_cientifica,,Michele Monguilhott,Coordenadora,planetar@cfh.ufsc.br,(48) 3721-4133,https://planetario.ufsc.br/,"Centro de Filosofia e Ciências Humanas, Campus Universitário, Trindade, Florianópolis - SC, CEP 88040-900",Florianópolis,SC,-27.6,-48.52,campus,"Planetário universitário que atende cerca de 10 mil pessoas por ano, com programação voltada a escolas de diferentes níveis de ensino.",verificado,2026-09-17
rede-interinstitucional-de-grupos-de-pesquisa-em-universidades-publicas-brasilei,sim,Rede Universitas/Br,Universitas/Br,grupo de pesquisa,Rede interinstitucional de grupos de pesquisa em universidades públicas brasileiras,,universidade federal,Grupo de Trabalho Política de Educação Superior (GT-11) da Associação Nacional de Pós-Graduação e Pesquisa em Educação (ANPEd),politicas_publicas,,Deise Mancebo,Supervisora e coordenadora do site,,,http://www.redeuniversitas.com.br/,,,,,,,A rede analisa e avalia a produção científica sobre educação superior no Brasil desde 1968 e reúne os principais grupos de pesquisa em política de educação superior do país.,parcial,2026-09-17
cgee-cgee,sim,Centro de Gestão e Estudos Estratégicos,CGEE,centro,Centro de Gestão e Estudos Estratégicos,CGEE,organização social,,politicas_publicas,ciencia_de_dados,Anderson Stevens Leonidas Gomes,Diretor-presidente,,(61) 3424-9600,https://www.cgee.org.br/,"SCS Quadra 9, Torre C, 4º andar, Edifício Parque Cidade Corporate, CEP 70308-200",Brasília,DF,-15.7975,-47.8919,endereco,"O CGEE produz indicadores de ciência, tecnologia e inovação e estudos sobre formação de recursos humanos de alto nível, incluindo mestres e doutores.",verificado,2026-09-17
enap-gnova,sim,"GNova, Laboratório de Inovação em Governo",GNova,laboratório,Escola Nacional de Administração Pública,Enap,instituição pública de pesquisa não universitária,Diretoria de Inovação,politicas_publicas,,,,,(61) 2020-3000,https://www.enap.gov.br/pt/servicos/gnova,"SPO Área Especial 2-A, Asa Sul, CEP 70610-900",Brasília,DF,-15.8339,-47.9256,campus,O GNova desenvolve e documenta métodos de prototipagem e redesenho de serviços públicos em parceria com órgãos federais.,parcial,2026-09-17
inep-dired,sim,Diretoria de Estudos Educacionais,Dired,diretoria,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,Inep,instituição pública de pesquisa não universitária,,politicas_publicas,ciencia_de_dados; divulgacao_cientifica,Maria Teresa Gonzaga Alves,Diretora de Estudos Educacionais,dired@inep.gov.br,(61) 2022-3906,https://www.gov.br/inep/pt-br/composicao/diretoria-de-estudos-educacionais,"Setor de Indústrias Gráficas, Quadra 4, Lote 327, Edifício Villa Lobos, CEP 70610-908",Brasília,DF,-15.7995,-47.906,endereco,"A Dired desenvolve indicadores educacionais, monitora o Plano Nacional de Educação e mantém a coordenação de disseminação de informações e acesso a dados.",verificado,2026-09-17
ipea-disoc,sim,Diretoria de Estudos e Políticas Sociais,Disoc,diretoria,Instituto de Pesquisa Econômica Aplicada,Ipea,instituição pública de pesquisa não universitária,,politicas_publicas,ciencia_de_dados,Letícia Bartholo de Oliveira e Silva,Diretora de Estudos e Políticas Sociais,,(61) 2026-5418,https://www.ipea.gov.br/portal/categorias/72-estrutura-organizacional/204-disoc-estrutura-organizacional,"SEPS 702/902, Bloco C, Centro Empresarial Brasília 50, Torre B, 4º andar, Ala A, Asa Sul",Brasília,DF,-15.8114,-47.894,endereco,A Disoc avalia políticas públicas de educação e produz indicadores sociais a partir de bases administrativas e pesquisas domiciliares.,verificado,2026-09-17
ipea-diest,sim,"Diretoria de Estudos e Políticas do Estado, das Instituições e da Democracia",Diest,diretoria,Instituto de Pesquisa Econômica Aplicada,Ipea,instituição pública de pesquisa não universitária,,politicas_publicas,,Luseni Maria Cordeiro de Aquino,"Diretora de Estudos e Políticas do Estado, das Instituições e da Democracia",,(61) 2026-5049,https://www.ipea.gov.br/portal/categorias/72-estrutura-organizacional/211-diretoria-de-estudos-e-politicas-do-estado-das-instituicoes-e-da-democracia-diest,"SEPS 702/902, Bloco C, Centro Empresarial Brasília 50, Torre B, 5º andar, Asa Sul",Brasília,DF,-15.8114,-47.894,endereco,"A Diest estuda arranjos institucionais, governança e funcionamento do Estado brasileiro.",verificado,2026-09-17
unb-ceam,sim,Centro de Estudos Avançados Multidisciplinares,CEAM,centro,Universidade de Brasília,UnB,universidade federal,Reitoria da UnB (centro vinculado diretamente à Reitoria),politicas_publicas,,Mário Lima Brasil,Diretor,direcaoceam@unb.br,(61) 3107-5802,https://ceam.unb.br/,"Campus Universitário Darcy Ribeiro, Pavilhão Multiuso 1, Bloco A, 1º andar, Sala A1 45/4, Asa Norte, Brasília-DF, CEP 70910-900",Brasília,DF,-15.762,-47.87,campus,"Abriga, no eixo Políticas Públicas, o Núcleo de Pesquisa sobre o Ensino Superior da Universidade de Brasília (NESUB) e o Núcleo de Política Científica, Tecnológica e Sociedade (NP+CTS). Mantém o Núcleo de Estudos e Pesquisa em Políticas Sociais (NEPPOS) e o Programa de Pós-Graduação em Políticas Públicas para Infância e Juventude (PPGPPIJ), que tratam de avaliação e formulação de políticas públicas.",verificado,2026-09-17
unb-ceag,sim,Centro de Estudos Avançados de Governo e Administração Pública,CEAG,centro,Universidade de Brasília,UnB,universidade federal,"Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE)",politicas_publicas,ciencia_de_dados,Luiz Guilherme de Oliveira,Diretor,ceag@unb.br,(61) 3107-7961,https://ceag.unb.br/,"Campus Universitário Darcy Ribeiro, Pavilhão Multiuso I (PMU-I), Bloco B, térreo, Brasília-DF, CEP 70910-900",Brasília,DF,-15.762,-47.87,campus,"Pesquisa política de ciência, tecnologia e inovação e monitoramento e avaliação de políticas públicas.",verificado,2026-09-17
ufg-grupo-de-pesquisa-estado-politica-e-historia-da-educacao,sim,"Grupo de Pesquisa Estado, Política e História da Educação",,grupo de pesquisa,Universidade Federal de Goiás,UFG,universidade federal,"Faculdade de Educação (FE), Programa de Pós-Graduação em Educação (PPGE)",politicas_publicas,,João Ferreira de Oliveira,Líder do grupo de pesquisa e professor do PPGE/FE/UFG,ppge.fe@ufg.br,(62) 3209-6321,https://ppge.fe.ufg.br/p/44279-joao-ferreira-de-oliveira,"Rua 235 (Delenda Rezende de Melo), s/n, Setor Universitário, Faculdade de Educação, Sala 249, Campus Colemar Natal e Silva, Goiânia-GO, CEP 74605-050",Goiânia,GO,-16.679,-49.257,campus,"Estuda políticas de expansão, regulação e qualidade da educação superior e as metas do PNE 2014-2024, com projeto CNPq vigente de 2021 a 2025 sobre o tema. O líder coordenou a Rede Universitas/Br (2014-2016) e o GT 11 da ANPEd, o que dá ao grupo inserção nacional em estudos sobre educação superior e pós-graduação.",verificado,2026-09-17
ufg-lde,sim,Laboratório de Dados Educacionais,LDE,laboratório,Universidade Federal de Goiás,UFG,universidade federal,"Faculdade de Administração, Ciências Contábeis e Ciências Econômicas (FACE)",politicas_publicas,ciencia_de_dados,Thiago Alves,Coordenador (UFG),thiagoalves.edu@ufg.br,(62) 3521-1390,https://dadoseducacionais.c3sl.ufpr.br/,"Faculdade de Administração, Ciências Contábeis e Ciências Econômicas (FACE), Campus Samambaia, Goiânia-GO, CEP 74690-900",Goiânia,GO,-16.604,-49.265,campus,"Produz indicadores educacionais com séries históricas, da educação básica à superior, a partir de microdados abertos do INEP, e mantém plataforma pública de consulta. A unidade da UFG, coordenada por Thiago Alves, atua em financiamento da educação, custo aluno-qualidade, condições de trabalho docente e indicadores educacionais, temas ligados ao PNE e à formação de professores.",verificado,2026-09-17
ufms-geppes-mb,sim,Grupo de Estudos e Pesquisa Políticas de Educação Superior Mariluce Bittar,GEPPES/MB,grupo de pesquisa,Universidade Federal de Mato Grosso do Sul,UFMS,universidade federal,"Faculdade de Educação (FAED), Programa de Pós-Graduação em Educação (PPGEdu)",politicas_publicas,,Carina Elisabeth Maciel,Coordenadora,,(67) 3345-7617,https://ppgedu.ufms.br/programa/grupos-de-estudos/grupo-de-estudos-e-pesquisa-politicas-de-educacao-superior-mariluce-bittar-geppes-mb/,"Av. Costa e Silva, s/n, Bairro Universitário, Campo Grande-MS, CEP 79070-900",Campo Grande,MS,-20.505,-54.614,campus,"Estuda políticas de acesso, permanência e inclusão na educação superior, temas ligados ao PNE e à avaliação de políticas de expansão. Integra a Rede Universitas/Br, o que o conecta à rede nacional de pesquisa sobre educação superior e pós-graduação.",verificado,2026-09-17
ufba-crh,sim,Centro de Estudos e Pesquisas em Humanidades,CRH,centro,Universidade Federal da Bahia,UFBA,universidade federal,Faculdade de Filosofia e Ciências Humanas (FFCH),politicas_publicas,,Lúcia Alvares Pedreira,Coordenadora,crh@ufba.br,(71) 3283-5850 / 3283-5852 / 3283-5854,https://crh.ufba.br/,"Estrada de São Lázaro, 197, Federação, CEP 40210-730",Salvador,BA,-13.0027,-38.5083,campus,"O centro mantém a linha de pesquisa Instituições Políticas, Governo e Políticas Públicas e a linha Trabalho, Classes e Desigualdades, com produção sobre o Nordeste. Edita o periódico Caderno CRH, classificado como Qualis A1, o que o torna referência para estudos sobre produção científica em ciências sociais na região prioritária.",verificado,2026-09-17
ufba-isc,sim,Instituto de Saúde Coletiva,ISC,instituto,Universidade Federal da Bahia,UFBA,universidade federal,"Unidade universitária da UFBA, vinculada diretamente à administração central",politicas_publicas,,Joilda Silva Nery,Diretora,isc@ufba.br,(71) 3283-7373,https://isc.ufba.br/,"Rua Basílio da Gama, s/nº, Campus Universitário Canela, CEP 40110-040",Salvador,BA,-12.9922,-38.5215,campus,"O instituto tem linha consolidada de avaliação de políticas e programas públicos de saúde, com cooperação técnica com o Ministério da Saúde e produção de metodologias de avaliação de impacto. Mantém programa de pós-graduação em Saúde Coletiva e cursos de residência e especialização em planejamento, gestão e avaliação, o que o torna referência para estudos sobre avaliação de programas e formação de pessoal no Nordeste.",verificado,2026-09-17
ufc-lep,sim,Laboratório de Estudos da Pobreza,LEP,laboratório,Universidade Federal do Ceará,UFC,universidade federal,Programa de Pós-Graduação em Economia (CAEN),politicas_publicas,ciencia_de_dados,,,sec_caen@caen.ufc.br,(85) 3366-7751,https://lepcaen.ufc.br/pt/,"Av. da Universidade, 2762, Prédio CAEN/História, 1º e 2º andares, Benfica, CEP 60020-181",Fortaleza,CE,-3.7408,-38.5372,campus,"O laboratório produz indicadores sociais e de bem-estar para o Brasil, regiões e unidades da federação a partir de microdados de pesquisas domiciliares, com ênfase no Nordeste e no Ceará.",verificado,2026-09-17
ufma-gaepp,sim,Grupo de Avaliação e Estudo da Pobreza e de Políticas Direcionadas à Pobreza,GAEPP,grupo de pesquisa,Universidade Federal do Maranhão,UFMA,universidade federal,"Departamento de Serviço Social, articulado ao Programa de Pós-Graduação em Políticas Públicas",politicas_publicas,,,,,(98) 3301-8667,https://www.gaepp.ufma.br/,"Av. dos Portugueses, 1966, Bacanga, CEP 65080-805",São Luís,MA,-2.558,-44.3056,campus,"O grupo tem linha de pesquisa em metodologia de análise e avaliação de políticas públicas e em políticas de educação profissional. Mantém o Observatório Social e do Trabalho, que sistematiza dados secundários sobre mercado de trabalho e pobreza no Maranhão, estado da região prioritária.",verificado,2026-09-17
ufpb-ppgave,sim,"Programa de Pós-Graduação em Políticas Públicas, Gestão e Avaliação da Educação",PPGAVE,programa,Universidade Federal da Paraíba,UFPB,universidade federal,Centro de Educação (CE),politicas_publicas,,Edineide Jezine,Coordenadora,ppgaes@ce.ufpb.br,(83) 3209-8219,https://www.ce.ufpb.br/ppgave/,"Centro de Educação, Cidade Universitária, CEP 58051-900",João Pessoa,PB,-7.1369,-34.8457,campus,"O programa é um mestrado profissional dedicado a políticas públicas, gestão e avaliação da educação, criado com foco na educação superior e voltado a servidores técnico-administrativos de instituições de ensino.",verificado,2026-09-17
fundaj-dipes,sim,Diretoria de Pesquisas Sociais,Dipes,diretoria,Fundação Joaquim Nabuco,Fundaj,instituição pública de pesquisa não universitária,,politicas_publicas,divulgacao_cientifica,Luciana Marques,Diretora de Pesquisas Sociais,luciana.marques@fundaj.gov.br,(81) 3073-6479,https://www.gov.br/fundaj/pt-br,"Avenida 17 de Agosto, 2187, Casa Forte, CEP 52061-540",Recife,PE,-8.0281,-34.9155,endereco,Referência em parceira em estudos e avaliação de políticas educacionais.,parcial,2026-09-17
ufpi-nipp,sim,Núcleo de Pesquisa em Instituições e Políticas Públicas,NIPP,núcleo,Universidade Federal do Piauí,UFPI,universidade federal,Programa de Pós-Graduação em Ciência Política,politicas_publicas,,,,nipp@ufpi.edu.br,(86) 3237-1692,https://nipp.ufpi.edu.br/,,Teresina,PI,-5.0562,-42.7943,campus,"O núcleo pesquisa instituições políticas e políticas públicas regionais e locais do Piauí, estado da região prioritária, e reúne pesquisadores dos programas de pós-graduação em Ciência Política, Sociologia e Administração da UFPI. Referência em ponto de contato para estudos sobre capacidade institucional e implementação de políticas no Nordeste.",verificado,2026-09-17
ufam-gppe,sim,Grupo de Estudos e Pesquisas Políticas Públicas e Educação,Gppe,grupo de pesquisa,Universidade Federal do Amazonas,UFAM,universidade federal,"Programa de Pós-Graduação em Educação, Faculdade de Educação",politicas_publicas,,Selma Suely Baçal de Oliveira,Líder,,,https://ppge.ufam.edu.br/grupos-laboratorios-e-nucleos-de-pesquisa.html,"Campus Universitário Senador Arthur Virgílio Filho, Faculdade de Educação, Manaus, AM",Manaus,AM,-3.0958,-59.9744,campus,O grupo pesquisa políticas públicas e educação na Amazônia e está vinculado a programa de pós-graduação em educação.,verificado,2026-09-17
ufopa-lepe-odesta,sim,"Laboratório Integrado de Ensino, Pesquisa e Extensão do Observatório de Desenvolvimento Econômico, Social, Territorial e Ambiental",LEPE-ODESTA,laboratório,Universidade Federal do Oeste do Pará,UFOPA,universidade federal,Instituto de Ciências da Sociedade,politicas_publicas,ciencia_de_dados,Abner Vilhena de Carvalho,Coordenador,,,https://ics.ufopa.edu.br/ics/instituto/laboratorios/obcrit/,"Campus Santarém, Unidade Tapajós, BMT I, 2º andar, Sala 323B, e Unidade Boulevard, Av. Mendonça Furtado, 2946, Fátima, Santarém, PA, CEP 68040-070",Santarém,PA,-2.4431,-54.7083,cidade,O laboratório produz análises quantitativas sobre desenvolvimento regional e políticas públicas no oeste do Pará.,verificado,2026-09-17
ufpa-naea,sim,Núcleo de Altos Estudos Amazônicos,NAEA,núcleo,Universidade Federal do Pará,UFPA,universidade federal,Órgão suplementar vinculado à Reitoria,politicas_publicas,,Armin Mathis,Diretor,,(91) 3201-7231,https://www.naea.ufpa.br/,"Rua Augusto Corrêa, 01, Campus Universitário do Guamá, Setor Profissional, Guamá, Belém, PA, CEP 66075-110",Belém,PA,-1.4746,-48.4529,campus,"O NAEA faz ensino de pós-graduação, pesquisa socioeconômica regional e extensão sobre a Amazônia.",verificado,2026-09-17
uft-neped,sim,"Núcleo de Estudos e Pesquisas em Educação, Políticas Públicas e Desigualdade Social",Neped,núcleo,Universidade Federal do Tocantins,UFT,universidade federal,Núcleo de pesquisa e extensão institucionalizado pela Resolução nº 12/2018 do Consepe,politicas_publicas,,,,,,https://www.uft.edu.br/nucleos-de-pesquisa-e-extensao/neped,,Palmas,TO,-10.17856,-48.35978,campus,O núcleo estuda o impacto de políticas públicas de inclusão sobre as práticas educacionais no Tocantins.,parcial,2026-09-17
ufes-nepe,sim,Núcleo de Estudos e Pesquisas em Políticas Educacionais,NEPE,núcleo,Universidade Federal do Espírito Santo,UFES,universidade federal,Centro de Educação,politicas_publicas,,Eliza Bartolozzi Ferreira,Coordenadora,,,https://ce.ufes.br/nucleo-de-estudos-e-pesquisas-em-politicas-educacionais-nepe,"Centro de Educação, Campus de Goiabeiras, Vitória, ES",Vitória,ES,-20.2766,-40.3044,campus,O núcleo pesquisa políticas educacionais e formação de professores e articula pesquisa e extensão com as redes de ensino do Espírito Santo.,verificado,2026-09-17
ufjf-caed,sim,Centro de Políticas Públicas e Avaliação da Educação,CAEd,centro,Universidade Federal de Juiz de Fora,UFJF,universidade federal,,politicas_publicas,ciencia_de_dados,,,,,https://www2.ufjf.br/ufjf/,,Juiz de Fora,MG,-21.7642,-43.3503,cidade,O centro opera avaliações educacionais em larga escala e produz indicadores para redes estaduais e municipais de ensino.,parcial,2026-09-17
ufmg-cedeplar,sim,Centro de Desenvolvimento e Planejamento Regional,Cedeplar,centro,Universidade Federal de Minas Gerais,UFMG,universidade federal,Faculdade de Ciências Econômicas,politicas_publicas,ciencia_de_dados,Bernardo Campolina,Diretor,,,https://www.cedeplar.ufmg.br/,"Av. Presidente Antônio Carlos, 6627, Faculdade de Ciências Econômicas, Pampulha, Belo Horizonte, MG, CEP 31270-901",Belo Horizonte,MG,-19.87,-43.9666,campus,O centro mantém pós-graduação em demografia e em economia e produz estudos com dados sobre desenvolvimento regional e avaliação de políticas. Os indicadores demográficos e regionais que produz servem à definição de critérios de atuação em regiões prioritárias.,verificado,2026-09-17
fgv-fgv-social,sim,Centro de Políticas Sociais da Fundação Getulio Vargas,FGV Social,centro,Fundação Getulio Vargas,FGV,universidade privada,Fundação Getulio Vargas,politicas_publicas,ciencia_de_dados,Marcelo Neri,Diretor,fgvsocial@fgv.br,(21) 3799-6320,https://cps.fgv.br/home,"Rua Barão de Itambi, 60, Sala 807, Botafogo, Rio de Janeiro, RJ, CEP 22231-000",Rio de Janeiro,RJ,-22.94103,-43.17999,campus,"O centro produz análises com microdados sobre desigualdade, pobreza, acesso à educação e mercado de trabalho.",verificado,2026-09-17
uff-nap,sim,Núcleo de Avaliação e Análise de Políticas Sociais,NAP,núcleo,Universidade Federal Fluminense,UFF,universidade federal,"Programa de Estudos Pós-Graduados em Política Social, Escola de Serviço Social",politicas_publicas,,Lenaura de Vasconcelos Costa Lobato,Coordenadora,pps.ess@id.uff.br,(21) 2629-2752,https://politicasocial.uff.br/nap/,"Rua Professor Marcos Waldemar de Freitas Reis, Bloco E, 3º andar, Campus do Gragoatá, São Domingos, Niterói, RJ, CEP 24210-201",Niterói,RJ,-22.9016,-43.1281,campus,"O núcleo faz avaliação de programas sociais e análise da institucionalização dos sistemas de proteção social, com métodos aplicáveis à avaliação de programas federais.",verificado,2026-09-17
